RA,DEC,F336W-F475W_RAW,F475W-F814W_RAW,F475W_RAW,F336W-F475W,F475W-F814W,F475W,A(F475W),Z
10.8268541089,41.2488327126,-0.498999,0.605999,23.692,-1.14695910404,-0.280224957443,-2.16082671271,1.45282614814,nan
10.8393940761,41.2658531424,-0.596001,0.601999,23.792,-1.26629586056,-0.314772164238,-2.1109041947,1.5029040116,nan
10.8556693042,41.2508081991,-0.561001,0.242001,23.471,-0.898005614603,-0.218925254882,-1.6846154511,0.755616122485,0.0188182111741
10.8385531132,41.2661836035,-0.517,0.809999,23.841,-1.36220492747,-0.345998033509,-2.45407826468,1.89507786795,nan
10.8308819718,41.250315812,-0.927,0.482,23.607,-1.6023505445,-0.441685308736,-2.30723843542,1.51423878637,nan
10.846596896,41.2520116799,-0.108002,0.536001,23.922,-0.614039624775,-0.156113432744,-1.61261327595,1.13461416096,0.0241342329805
10.8383233164,41.2670408529,-0.176001,0.411001,23.593,-0.586027577594,-0.149798030712,-1.7263425981,0.919343010092,0.024684910215
10.8560616279,41.2555724163,-1.094,0.0979996,23.534,-1.43877927586,-0.373559714341,-1.6390476149,0.773048011631,0.00347833229229
10.8629246828,41.2453727868,-0.323999,0.275999,23.594,-0.644983485321,-0.1630150318,-1.52569538489,0.719695247564,0.0239960393478
10.8322888155,41.2600020033,-0.515999,0.566999,23.657,-1.1326075466,-0.276344310822,-2.12553114354,1.38253073155,nan
10.8338860966,41.2471752202,-0.323,0.273001,23.639,-0.641173072483,-0.162168794357,-1.47439270287,0.713392641837,0.0240465414272
10.8468821965,41.2730715094,-0.471001,0.441999,23.924,-0.965650171712,-0.234539118832,-1.58507981076,1.10907959714,0.0172131278463
10.8346186203,41.2621975338,-0.187,0.553001,23.62,-0.723087489259,-0.180212051139,-1.98198843117,1.20198927041,0.0222944417098
10.8179720024,41.2484973602,-0.435999,0.874001,23.806,-1.31690190506,-0.330821923651,-2.56911905228,1.97511880814,nan
10.8585599674,41.2482235539,-0.448999,0.539,23.851,-1.02497824032,-0.24877418601,-1.84043253425,1.2914323664,0.015732453633
10.8374101278,41.2697612271,-0.587,0.560999,23.633,-1.21636429556,-0.299790961056,-2.17813152685,1.41113094702,nan
10.8382180366,41.2550237985,-0.933001,-0.0900002,23.52,-1.05442278888,-0.256070907798,-1.15224668193,0.272247139689,0.0151080622854
10.8274622282,41.25275286,-0.871,0.9,23.958,-2.05062180246,-0.713384064547,-3.08689110063,2.64489128373,nan
10.867580663,41.2477731751,-0.209,-0.550001,23.571,0.324995251069,0.18035060394,0.368297093621,-1.19729794811,nan
10.8301720537,41.2629257313,-0.202999,0.525,23.751,-0.717759395731,-0.179044711631,-1.80317158237,1.15417103305,0.0223080908248
10.8177811398,41.2485086597,-0.188999,0.826,23.848,-0.964152406204,-0.234186939761,-2.2900121541,1.73801172686,nan
10.829773904,41.2521214377,-0.132999,0.41,23.722,-0.533465731888,-0.137723134988,-1.57590640645,0.897906528524,0.0255021148801
10.8350477646,41.2560689,-1.55,-0.197001,23.608,-1.80672460941,-0.548127133889,-1.36761762517,0.575617426802,nan
10.8493767047,41.2708530251,-0.337,0.219,23.649,-0.610718241891,-0.155368282416,-1.36471810279,0.613718270635,0.0244066126406
10.875762334,41.2645564555,-0.0790005,0.144001,23.642,-0.225550978994,-0.0564380257516,-1.08658838005,0.328588578413,0.0284228384341
10.8170080635,41.247576061,-0.752001,0.0600014,23.606,-0.967707438196,-0.235023389002,-1.27764625103,0.4836471513,0.017308160524
10.8765759628,41.265880515,-1.142,-0.175999,23.679,-1.23695654113,-0.305871712597,-0.933905743627,0.212906598119,0.00957530069059
10.8469376257,41.2434936229,-0.254,0.238998,23.807,-0.528610550542,-0.136590404582,-1.20872016668,0.615719373226,0.0255840016449
10.8747700182,41.2646182229,-0.104,0.26,23.843,-0.364158141196,-0.0958213188367,-1.14031360067,0.583314012653,0.0268929047625
10.869979377,41.2681775427,-0.242001,0.247,23.864,-0.521191405914,-0.134853182962,-1.16198807885,0.625988399283,0.0256876644488
10.8215763401,41.2498922812,-0.144001,0.658001,23.974,-0.763296453041,-0.189017489014,-1.81455388079,1.38855481157,0.0214793476631
10.8410477402,41.2667520829,-0.210999,0.549,23.904,-0.748176866893,-0.185706003667,-1.70043639277,1.20443572138,0.0220139031955
10.8278056696,41.2598304821,-0.539999,0.146999,23.807,-0.7899522198,-0.194864898916,-1.15343400337,0.560433209912,0.0217817256515
10.8288316982,41.2624848302,-0.756001,0.225,23.753,-1.12011972526,-0.273010192384,-1.46341051741,0.81641077681,0.0132487071028
10.8329695161,41.268751176,-0.066,0.456999,23.879,-0.494030670794,-0.128424310559,-1.48071034833,0.959710058414,0.0259517843993
10.8305058235,41.2618253778,-0.415001,0.428001,23.936,-0.886015949167,-0.216211983007,-1.5200866954,1.05608751937,0.0191705108725
10.8416881742,41.2462980001,-0.171,0.300999,23.9,-0.483046048605,-0.12579139789,-1.19965625956,0.699655878089,0.0260406157721
10.8388187795,41.2681768065,-0.318001,0.568001,23.641,-0.892437218021,-0.217663374668,-2.04697329843,1.28797404611,0.0191207483221
10.8697995195,41.2550974435,-0.368999,0.118,23.9,-0.56054966884,-0.143985652128,-0.929485107118,0.429484725648,0.0251285478273
10.8412050061,41.2395174308,-0.385,0.347,23.995,-0.779506698622,-0.192571506947,-1.28954281489,0.884543654127,0.0218368965156
